Well Name,API,Route,Company,Status
A CROSS #2-36,35129217890000,E 309,Presidio,Active
A CROSS RANCH #1-33,35129218110000,E 306,Presidio,Active
A CROSS RANCH #2-33,35129225240000,E 306,Presidio,Active
A CROSS RANCH #3-16,35129228530000,E 306,Presidio,Active
A CROSS RANCH #3-33,35129231160000,E 306,Presidio,Active
A CROSS RANCH #4-16,35129230560000,E 306,Presidio,Active
A CROSS RANCH #5-16,35129231700000,E 306,Presidio,Active
A CROSS RANCH #6-16,35129231860000,E 306,Presidio,Active
A CROSS RANCH #7-16,35129232090000,E 306,Presidio,Active
A CROSS RANCH #8-16,35129232400000,E 306,Presidio,Active
A O BELCHER 01,35015203190000,E 316,Presidio,Active
ABRAHAM 180-1H,42211352690100,N 102,Presidio,SI
ABRAHAM 32 #4,42211345830000,C 207,Presidio,Active
ABRAHAM 32 #5,42211345980000,C 207,Presidio,Active
ABRAHAM 3206H,42211351400000,C 207,Presidio,SI
ADAMS 137 #1,42357322740000,N 104,Presidio,Active
ADAMS 137 #2,42357323550000,N 104,Presidio,Active
HOBART RANCH 1,42211301170000,C 200,EQV,Active
ADAMS 137 #3,42357327160000,N 104,Presidio,Active
NOAH 0813H,42211343660000,C 200,EQV,Active
NOAH 0814P,42211328500000,C 200,EQV,Active
NOAH 0817H,42211351900000,C 200,EQV,Active
NOAH SL 0819H,42211352370000,C 200,EQV,Active
ADAMS 137 #4H,42357330880000,N 104,Presidio,SI
ADAMS 137 #5H,42357332800000,N 104,Presidio,Active
ADAMS 137 #6H,42357332780000,N 104,Presidio,Active
ADAMS 137 #7H,42357332790000,N 104,Presidio,SI
ADAMS 138 #3H,42357331490000,N 104,Presidio,SI
ADAMS 138 #5H,42357333250000,N 104,Presidio,Active
ADAMS 197 #1H,42393325370000,N 104,Presidio,SI
ADAMS 197 #2H,42393325620000,N 104,Presidio,Active
"ADAMS, H.G. #1-138",42357323560000,N 104,Presidio,SI
"ADAMS, H.G. 138 #2H",42357329910000,N 104,Presidio,Active
"ADAMS, H.G. 138 #4H",42357333300000,N 104,Presidio,Active
ADDIE 17-2H,35045231800000,N 114,Presidio,Active
ADDIE 17-3H,35045234090000,N 114,Presidio,Active
ADELINE 1H-4,35045230960000,E 301,Presidio,Active
AGNES 2H-12,35129236230000,E 303,Presidio,Active
AGNES 3H-12,35129238090000,E 303,Presidio,Active
ALEXANDER #3-48,42211341470000,C 207,Presidio,SI
ALEXANDER #7H,42211351720000,C 202,Presidio,Active
"ALEXANDER /A/ #1-18, 2-18",42195313750000,N 101,Presidio,SI
ALEXANDER 1 #8H,42211352430000,C 202,Presidio,Active
ALEXANDER 33 #6,42211341480000,C 207,Presidio,Active
ALEXANDER 33 #7HA,42211350730000,C 202,Presidio,Active
ALEXANDER 33 #8H,42211351530000,C 207,Presidio,Active
ALEXANDER 33 #9H,42211351370000,C 207,Presidio,SI
ALEXANDER 4-1,42211345780000,C 202,Presidio,Active
ALEXANDER 48 #4,42211345880000,C 207,Presidio,SI
ALEXANDER 48 #7HC,42211349960000,C 207,Presidio,Active
ALEXANDER 48 #8HA,42211350930000,C 207,Presidio,Active
ALEXANDER 48 #9H,42211351650000,C 207,Presidio,Active
ALEXANDER 5-1,42211345790000,C 202,Presidio,SI
ALEXANDER 66 #1 HC,42211351110000,N 112,Presidio,Active
ALEXANDER 67 #1 HD,42211351390000,N 112,Presidio,Active
ALEXANDER 67 #2 HB,42211353030000,N 112,Presidio,Active
ALEXANDER 6HB,42211350260000,C 202,Presidio,Active
ALEXANDER UNIT 66 #1H,42211351830000,N 112,Presidio,Active
ALEXANDER UNIT 66 #2H,42211352260000,N 112,Presidio,Active
ALEXANDRA 47 #2,42483335780000,C 214,Presidio,SI
ALLEE #1-4,35129208210000,E 306,Presidio,Active
ALLEE #6-9,35129231810000,E 306,Presidio,Active
ALLEE 5-9,35129228240000,E 306,Presidio,Active
ALLEN #1-23HD,35129235490000,E 305,Presidio,Active
ALLEN #1-34 BH,35129234030000,E 303,Presidio,SI
ALLEN #2-15HA,35129237670000,E 305,Presidio,SI
ALLEN #2-2,35129229360000,E 306,Presidio,Active
ALLEN 26-17-25 1H,35129238930000,E 303,Presidio,SI
"ALLEN, JOE #1-11",35129218160000,E 306,Presidio,Active
ALLISON #1-35,35039203890000,E 315,Presidio,Active
ALLISON 1,35129228700000,C 215,Presidio,Active
AMBER 24-1H,42211355110000,C 200,Presidio,SI
AMY 290 #2,42295330370000,N 106,Presidio,SI
AMY 290 #3H,42295341120000,N 106,Presidio,Active
ANGEL 909-2,42295330840000,N 107,Presidio,SI
ANGEL 909-3H,42295332490000,N 107,Presidio,SI
ANGEL 909-3HM,42295337660000,N 107,Presidio,SI
ANNE 24-1H,42211355080000,C 200,Presidio,Active
ANSPAUGH #1-24H,35009218620000,E 313,Presidio,Active
ANT HILL #1-18HA,35045230240000,E 301,Presidio,Active
ANTELOPE #2-27,35149204900000,E 315,Presidio,Active
APACHE 20-11-21 1H,35009219020000,E 314,Presidio,Active
APACHE 21-11-21 1H,35009219010000,E 314,Presidio,Active
APACHE 21-11-21 2H,35009219200000,E 314,Presidio,Active
APOLLO #1-24,35129232720000,E 311,Presidio,Active
ARBUCKLE 76-1H,42211354700000,N 102,Presidio,Active
ARCHER 38-1H,42195319200000,N 101,Presidio,Active
ARLI JO 1H-19,35045236030000,E 300,Presidio,Active
ARMSTRONG 1-14,35129210890000,C 215,Presidio,Active
ARMSTRONG 3-14,35129226690000,C 215,Presidio,Active
ARMSTRONG 4-14,35129227500000,C 215,Presidio,Active
ARMSTRONG 5-14,35129227770000,C 215,Presidio,Active
ASH 325 #1H,42295340820000,N 106,Presidio,Active
ASHLEY DAWN 1H-20,35045236000000,E 300,Presidio,Active
ATHA 1-13H,35129238700000,C 215,Presidio,Active
AUSTIN 03-55H,42483333110000,C 208,Presidio,Active
AUSTIN 1-6,42483301060000,C 214,Presidio,SI
AUSTIN 55-1H,42483339540000,C 208,Presidio,Active
AUSTIN 55-2H,42483339680000,C 208,Presidio,Active
AVRIETT #2-27H,35129238390000,E 302,Presidio,Active
AVRIETT 34-16-24 3H,35129239880000,E 302,Presidio,Active
AVRIETT 34-16-24 4H,35129240030000,E 302,Presidio,Active
BABE 940-3H,42295331550000,N 110,Presidio,SI
JONES-AMOCO 3 #18H,42211353980000,C 202,EQV,Active
BACHMANN #1-28D,35129233190000,E 303,Presidio,Active
BACHMANN #2-28A,35129233620000,E 303,Presidio,Active
BACHMANN 28-17-25 #3,35129240410000,E 303,Presidio,SI
BAILEY 939-1HM,42295334690000,N 107,Presidio,Active
BAILEY 9392,42295329990000,N 107,Presidio,Active
BAILEY 9394,42295330000000,N 107,Presidio,SI
BAILEY 939-4HM,42295338730000,N 107,Presidio,Active
BANKS TRUST #1-20,35009215390000,C 214,Presidio,Active
BARBARA #1-16,35129214770000,E 305,Presidio,Active
BARBARA #2-16,35129224390000,E 305,Presidio,Active
BARBARA #3-16,35129229990000,E 305,Presidio,Active
BARBER #1-22H,35129237510000,E 302,Presidio,Active
BARBER #2-20HC,35129238340000,E 302,Presidio,Active
BARBER #2-27H,35129238400000,E 302,Presidio,Active
BARBER #2-9HB,35129234920000,E 302,Presidio,Active
BARBER FAMILY TRUST 1-15H,35129239070000,E 302,Presidio,Active
BARBER FAMILY TRUST 9-16-24 1H,35129240100000,E 302,Presidio,Active
BARBER FAMILY TRUST 9-16-24 3H,35129240090000,E 302,Presidio,SI
BARKER #1-12H,35129238140000,C 205,Presidio,Active
BARKER 03-53,42211326140000,C 203,Presidio,Active
BARKER 03-53A,42211333190000,C 203,Presidio,Active
BARKER 04-53,42211328120000,C 203,Presidio,Active
BARKER 04-53A,42211333180000,C 203,Presidio,Active
BARKER 05-53,42211328470000,C 203,Presidio,Active
BARKER 05-53A,42211337850000,C 203,Presidio,Active
BARKER 06-53,42211329210000,C 203,Presidio,Active
BARKER 06-53A,42211334700000,C 203,Presidio,Active
BARKER 07-53,42211329600000,C 203,Presidio,Active
BARKER 07-53A,42211334690000,C 203,Presidio,Active
BARKER 08-53,42211330450000,C 203,Presidio,SI
BARKER 08-53A,42211334670000,C 203,Presidio,SI
BARKER 09-53,42211329840000,C 203,Presidio,Active
BARKER 09-53A,42211337490000,C 203,Presidio,SI
BARKER 10-53,42211329820000,C 203,Presidio,Active
BARKER 10-53A,42211336750000,C 203,Presidio,Active
BARKER 11-53,42211330670000,C 203,Presidio,Active
BARKER 11-53A,42211338030000,C 203,Presidio,Active
BARKER 12-15-26 4H,35129241520000,C 205,Presidio,Active
BARKER 12-53,42211330460000,C 203,Presidio,Active
BARKER 12-53A,42211338040000,C 203,Presidio,Active
BARKER 13-53,42211333370000,C 203,Presidio,Active
BARKER 13-53A,42211334800000,C 203,Presidio,Active
BARKER 14-53,42211333960000,C 203,Presidio,Active
BARKER 15-53,42211333610000,C 203,Presidio,Active
BARKER 15-53A,42211336590000,C 203,Presidio,Active
BARKER 16-53,42211333570000,C 203,Presidio,Active
BARKER 16-53A,42211334660000,C 203,Presidio,Active
BARKER 17-53,42211333620000,C 203,Presidio,Active
BARKER 17-53A,42211340370000,C 203,Presidio,Active
BARKER 18-53,42211333600000,C 203,Presidio,Active
BARKER 18-53A,42211337840000,C 203,Presidio,Active
BARKER 35-16-26 1H,35129239640000,C 205,Presidio,Active
BARTON 01-15H,35129237210000,E 311,Presidio,Active
BARTON 1H-34,35045236040000,N 114,Presidio,SI
BARTON ESTATE 02-378,42295200050000,N 106,Presidio,Active
BARTON ESTATE 03-378 COMMINGLED,42295324750000,N 106,Presidio,Active
BARTON ESTATE 04-378,42295325570000,N 106,Presidio,SI
BARTON ESTATE 05-378,42295327910000,N 106,Presidio,SI
BARTON ESTATE 06-378,42295327890000,N 106,Presidio,Active
"BARTON, JAY D. ETAL -B- 533 #2",42295309390000,N 111,Presidio,Active
BASS #2-59,42483323510000,C 214,Presidio,SI
BASS #3-59,42483323920000,C 214,Presidio,Active
BASS-CALCOTE #2-59,42483324460000,C 214,Presidio,SI
"BAUMANN #1-394, 2-394",42357300170000,N 103,Presidio,SI
BAUMANN 394 #3H,42357330640000,N 103,Presidio,Active
BAUMANN 394 #4H,42357331880000,N 103,Presidio,Active
BEALS #1-26,35129210370000,E 304,Presidio,Active
BEALS #1-35,35129209170000,E 304,Presidio,Active
BEALS #2-26,35129211670000,E 304,Presidio,SI
BEALS #2-35,35129211870000,E 304,Presidio,Active
BEALS #3-35,35129214060000,E 304,Presidio,Active
BEALS #4-26H,35129238610000,E 304,Presidio,Active
BEALS #4-35,35129218040000,E 304,Presidio,Active
BEALS #5-35,35129219870000,E 304,Presidio,Active
BEALS #6-35,35129226200000,E 304,Presidio,Active
BEAUCHAMP 1H-60,42195319450000,N 101,Presidio,SI
BEAVIN #1-24H,35129237790000,E 303,Presidio,Active
BEAVIN #2-13H,35129237820000,E 311,Presidio,Active
BEAVIN 24-17-25 2H,35129238750000,E 303,Presidio,Active
